model_name,video_name,total_tp,total_fp,total_fn,precision,recall,f1_score,overall_avg_iou,avg_inference_ms,total_frames,iou_threshold
finetuned_model,14.mp4,0,0,78,0.0000,0.0000,0.0000,0.0000,16.88,1107,0.5
finetuned_model,15.mp4,0,0,271,0.0000,0.0000,0.0000,0.0000,17.58,600,0.5
finetuned_model,16.mp4,0,1239,270,0.0000,0.0000,0.0000,0.0000,38.36,905,0.5
finetuned_model,17.mp4,0,28,157,0.0000,0.0000,0.0000,0.0000,18.47,688,0.5
finetuned_model,18.mp4,0,832,3388,0.0000,0.0000,0.0000,0.0000,35.06,3258,0.5
finetuned_model,19.mp4,0,65,141,0.0000,0.0000,0.0000,0.0000,28.23,141,0.5
finetuned_model,2.mp4,0,0,41,0.0000,0.0000,0.0000,0.0000,26.19,141,0.5
finetuned_model,20.mp4,0,12,95,0.0000,0.0000,0.0000,0.0000,35.99,141,0.5
finetuned_model,3.mp4,0,1,72,0.0000,0.0000,0.0000,0.0000,23.33,141,0.5
finetuned_model,4.mp4,0,0,103,0.0000,0.0000,0.0000,0.0000,31.33,141,0.5
finetuned_model,5.mp4,0,0,81,0.0000,0.0000,0.0000,0.0000,30.57,141,0.5
finetuned_model,6.mp4,23,138,88,0.1429,0.2072,0.1691,0.5733,23.72,141,0.5
finetuned_model,7.mp4,0,167,114,0.0000,0.0000,0.0000,0.0000,30.23,141,0.5
finetuned_model,8.mp4,0,0,109,0.0000,0.0000,0.0000,0.0000,27.43,141,0.5
finetuned_model,9.mp4,120,283,130,0.2978,0.4800,0.3675,0.7521,33.53,250,0.5
