model_name,video_name,total_tp,total_fp,total_fn,precision,recall,f1_score,overall_avg_iou,avg_inference_ms,total_frames,iou_threshold
yolov8s,16.mp4,7,143,1161,0.0467,0.0060,0.0106,0.8013,23.50,905,0.5
yolov8s,17.mp4,72,0,774,1.0000,0.0851,0.1569,0.8310,21.95,688,0.5
yolov8m,16.mp4,0,0,1168,0.0000,0.0000,0.0000,0.0000,37.45,905,0.5
yolov8m,17.mp4,0,0,846,0.0000,0.0000,0.0000,0.0000,35.55,688,0.5
yolo11s,16.mp4,360,14,808,0.9626,0.3082,0.4669,0.8022,24.78,905,0.5
yolo11s,17.mp4,112,26,734,0.8116,0.1324,0.2276,0.9133,23.26,688,0.5
